node,is_gam,is_boundary,error_rate
SAN JOSE|CENTRAL|CARMEN,True,False,0.0625
SAN JOSE|CENTRAL|MERCED,True,False,0.0
SAN JOSE|CENTRAL|HOSPITAL,True,False,0.0
SAN JOSE|CENTRAL|CATEDRAL,True,False,0.0
SAN JOSE|CENTRAL|ZAPOTE,True,False,0.0
SAN JOSE|CENTRAL|SAN FRANCISCO DE DOS RIOS,True,False,0.0625
SAN JOSE|CENTRAL|URUCA,True,False,0.0
SAN JOSE|CENTRAL|MATA REDONDA,True,False,0.0
SAN JOSE|CENTRAL|PAVAS,True,False,1.0
SAN JOSE|CENTRAL|HATILLO,True,False,0.0
SAN JOSE|CENTRAL|SAN SEBASTIAN,True,False,0.0
SAN JOSE|ESCAZU|ESCAZU,True,False,0.0
SAN JOSE|ESCAZU|SAN ANTONIO,True,False,0.0
SAN JOSE|ESCAZU|SAN RAFAEL,True,False,0.0
SAN JOSE|DESAMPARADOS|DESAMPARADOS,True,False,0.0625
SAN JOSE|DESAMPARADOS|SAN MIGUEL,True,False,1.0
SAN JOSE|DESAMPARADOS|SAN JUAN DE DIOS,True,False,1.0
SAN JOSE|DESAMPARADOS|SAN RAFAEL ARRIBA,True,False,0.0
SAN JOSE|DESAMPARADOS|SAN ANTONIO,True,False,0.0
SAN JOSE|DESAMPARADOS|FRAILES,True,True,0.0625
SAN JOSE|DESAMPARADOS|PATARRA,True,False,1.0
SAN JOSE|DESAMPARADOS|SAN CRISTOBAL,True,True,0.1875
SAN JOSE|DESAMPARADOS|ROSARIO,True,False,0.0
SAN JOSE|DESAMPARADOS|DAMAS,True,False,0.0625
SAN JOSE|DESAMPARADOS|SAN RAFAEL ABAJO,True,False,0.9375
SAN JOSE|DESAMPARADOS|GRAVILIAS,True,False,0.0
SAN JOSE|DESAMPARADOS|LOS GUIDO,True,False,1.0
SAN JOSE|PURISCAL|SANTIAGO,False,False,1.0
SAN JOSE|PURISCAL|MERCEDES SUR,False,False,0.0
SAN JOSE|PURISCAL|BARBACOAS,False,True,0.0
SAN JOSE|PURISCAL|GRIFO ALTO,False,True,0.0
SAN JOSE|PURISCAL|SAN ANTONIO,False,True,0.0
SAN JOSE|PURISCAL|CANDELARITA,False,False,1.0
SAN JOSE|PURISCAL|DESAMPARADITOS,False,True,0.125
SAN JOSE|PURISCAL|SAN RAFAEL,False,True,0.0
SAN JOSE|PURISCAL|CHIRES,False,False,0.0
SAN JOSE|TARRAZU|SAN MARCOS,False,False,1.0
SAN JOSE|TARRAZU|SAN LORENZO,False,False,1.0
SAN JOSE|TARRAZU|SAN CARLOS,False,True,1.0
SAN JOSE|ASERRI|ASERRI,True,False,0.0
SAN JOSE|ASERRI|TARBACA,True,True,0.0
SAN JOSE|ASERRI|VUELTA DE JORCO,True,True,0.75
SAN JOSE|ASERRI|SAN GABRIEL,True,False,0.0
